run_id,seed,test_ratio,negative_strategy,negatives_per_source,k,algorithm,sources_evaluated,precision_at_k,hit_rate_at_k,mrr,positive_candidates,negative_candidates,runtime_seconds
seed7_random,7,0.2,random,100,1,common_neighbors,3728,0.380633,0.380633,0.501775,20867,372800,0.275005
seed7_random,7,0.2,random,100,3,common_neighbors,3728,0.323677,0.583423,0.501775,20867,372800,0.275005
seed7_random,7,0.2,random,100,5,common_neighbors,3728,0.286212,0.652092,0.501775,20867,372800,0.275005
seed7_random,7,0.2,random,100,10,common_neighbors,3728,0.230499,0.714861,0.501775,20867,372800,0.275005
seed7_random,7,0.2,random,100,20,common_neighbors,3728,0.170266,0.756974,0.501775,20867,372800,0.275005
seed7_random,7,0.2,random,100,1,jaccard,3728,0.28353,0.28353,0.419613,20867,372800,0.705864
seed7_random,7,0.2,random,100,3,jaccard,3728,0.272979,0.492758,0.419613,20867,372800,0.705864
seed7_random,7,0.2,random,100,5,jaccard,3728,0.25397,0.588251,0.419613,20867,372800,0.705864
seed7_random,7,0.2,random,100,10,jaccard,3728,0.219099,0.694206,0.419613,20867,372800,0.705864
seed7_random,7,0.2,random,100,20,jaccard,3728,0.168777,0.754292,0.419613,20867,372800,0.705864
seed7_random,7,0.2,random,100,1,adamic_adar,3728,0.392436,0.392436,0.511789,20867,372800,0.36781
seed7_random,7,0.2,random,100,3,adamic_adar,3728,0.328237,0.594957,0.511789,20867,372800,0.36781
seed7_random,7,0.2,random,100,5,adamic_adar,3728,0.288466,0.657725,0.511789,20867,372800,0.36781
seed7_random,7,0.2,random,100,10,adamic_adar,3728,0.231116,0.715397,0.511789,20867,372800,0.36781
seed7_random,7,0.2,random,100,20,adamic_adar,3728,0.170507,0.756974,0.511789,20867,372800,0.36781
seed7_random,7,0.2,random,100,1,personalized_pagerank,3728,0.42221,0.42221,0.546917,20867,372800,12.983899
seed7_random,7,0.2,random,100,3,personalized_pagerank,3728,0.342454,0.620708,0.546917,20867,372800,12.983899
seed7_random,7,0.2,random,100,5,personalized_pagerank,3728,0.301341,0.697961,0.546917,20867,372800,12.983899
seed7_random,7,0.2,random,100,10,personalized_pagerank,3728,0.238573,0.786212,0.546917,20867,372800,12.983899
seed7_random,7,0.2,random,100,20,personalized_pagerank,3728,0.172559,0.8353,0.546917,20867,372800,12.983899
seed7_random,7,0.2,random,100,1,resource_allocation,3728,0.376878,0.376878,0.501204,20867,372800,0.461043
seed7_random,7,0.2,random,100,3,resource_allocation,3728,0.316613,0.585569,0.501204,20867,372800,0.461043
seed7_random,7,0.2,random,100,5,resource_allocation,3728,0.27838,0.652629,0.501204,20867,372800,0.461043
seed7_random,7,0.2,random,100,10,resource_allocation,3728,0.225912,0.714056,0.501204,20867,372800,0.461043
seed7_random,7,0.2,random,100,20,resource_allocation,3728,0.167221,0.756706,0.501204,20867,372800,0.461043
seed7_random,7,0.2,random,100,1,preferential_attachment,3728,0.24544,0.24544,0.39904,20867,372800,0.173246
seed7_random,7,0.2,random,100,3,preferential_attachment,3728,0.223534,0.458959,0.39904,20867,372800,0.173246
seed7_random,7,0.2,random,100,5,preferential_attachment,3728,0.210086,0.567597,0.39904,20867,372800,0.173246
seed7_random,7,0.2,random,100,10,preferential_attachment,3728,0.183503,0.721567,0.39904,20867,372800,0.173246
seed7_random,7,0.2,random,100,20,preferential_attachment,3728,0.153259,0.895386,0.39904,20867,372800,0.173246
seed7_random,7,0.2,random,100,1,cosine_similarity,3728,0.277629,0.277629,0.41804,20867,372800,0.31045
seed7_random,7,0.2,random,100,3,cosine_similarity,3728,0.267346,0.494367,0.41804,20867,372800,0.31045
seed7_random,7,0.2,random,100,5,cosine_similarity,3728,0.247157,0.598176,0.41804,20867,372800,0.31045
seed7_random,7,0.2,random,100,10,cosine_similarity,3728,0.20971,0.701448,0.41804,20867,372800,0.31045
seed7_random,7,0.2,random,100,20,cosine_similarity,3728,0.162916,0.75456,0.41804,20867,372800,0.31045
seed7_random,7,0.2,random,100,1,sorensen,3728,0.28353,0.28353,0.419613,20867,372800,0.309821
seed7_random,7,0.2,random,100,3,sorensen,3728,0.272979,0.492758,0.419613,20867,372800,0.309821
seed7_random,7,0.2,random,100,5,sorensen,3728,0.25397,0.588251,0.419613,20867,372800,0.309821
seed7_random,7,0.2,random,100,10,sorensen,3728,0.219099,0.694206,0.419613,20867,372800,0.309821
seed7_random,7,0.2,random,100,20,sorensen,3728,0.168777,0.754292,0.419613,20867,372800,0.309821
seed7_random,7,0.2,random,100,1,target_indegree,3728,0.336642,0.336642,0.483034,20867,372800,0.127241
seed7_random,7,0.2,random,100,3,target_indegree,3728,0.279417,0.543187,0.483034,20867,372800,0.127241
seed7_random,7,0.2,random,100,5,target_indegree,3728,0.250751,0.649142,0.483034,20867,372800,0.127241
seed7_random,7,0.2,random,100,10,target_indegree,3728,0.209764,0.792114,0.483034,20867,372800,0.127241
seed7_random,7,0.2,random,100,20,target_indegree,3728,0.167905,0.939109,0.483034,20867,372800,0.127241
seed7_degree_matched,7,0.2,degree_matched,100,1,common_neighbors,3728,0.170869,0.170869,0.300563,20867,372800,0.411181
seed7_degree_matched,7,0.2,degree_matched,100,3,common_neighbors,3728,0.15397,0.352736,0.300563,20867,372800,0.411181
seed7_degree_matched,7,0.2,degree_matched,100,5,common_neighbors,3728,0.142328,0.444474,0.300563,20867,372800,0.411181
seed7_degree_matched,7,0.2,degree_matched,100,10,common_neighbors,3728,0.124195,0.561695,0.300563,20867,372800,0.411181
seed7_degree_matched,7,0.2,degree_matched,100,20,common_neighbors,3728,0.103205,0.672747,0.300563,20867,372800,0.411181
seed7_degree_matched,7,0.2,degree_matched,100,1,jaccard,3728,0.215129,0.215129,0.338768,20867,372800,1.471235
seed7_degree_matched,7,0.2,degree_matched,100,3,jaccard,3728,0.189378,0.390826,0.338768,20867,372800,1.471235
seed7_degree_matched,7,0.2,degree_matched,100,5,jaccard,3728,0.169206,0.474785,0.338768,20867,372800,1.471235
seed7_degree_matched,7,0.2,degree_matched,100,10,jaccard,3728,0.14155,0.576717,0.338768,20867,372800,1.471235
seed7_degree_matched,7,0.2,degree_matched,100,20,jaccard,3728,0.114874,0.677307,0.338768,20867,372800,1.471235
seed7_degree_matched,7,0.2,degree_matched,100,1,adamic_adar,3728,0.174356,0.174356,0.308529,20867,372800,0.642104
seed7_degree_matched,7,0.2,degree_matched,100,3,adamic_adar,3728,0.158977,0.365612,0.308529,20867,372800,0.642104
seed7_degree_matched,7,0.2,degree_matched,100,5,adamic_adar,3728,0.145547,0.456813,0.308529,20867,372800,0.642104
seed7_degree_matched,7,0.2,degree_matched,100,10,adamic_adar,3728,0.127521,0.574303,0.308529,20867,372800,0.642104
seed7_degree_matched,7,0.2,degree_matched,100,20,adamic_adar,3728,0.105271,0.686964,0.308529,20867,372800,0.642104
seed7_degree_matched,7,0.2,degree_matched,100,1,personalized_pagerank,3728,0.164431,0.164431,0.290748,20867,372800,13.19046
seed7_degree_matched,7,0.2,degree_matched,100,3,personalized_pagerank,3728,0.143777,0.33235,0.290748,20867,372800,13.19046
seed7_degree_matched,7,0.2,degree_matched,100,5,personalized_pagerank,3728,0.130097,0.425966,0.290748,20867,372800,13.19046
seed7_degree_matched,7,0.2,degree_matched,100,10,personalized_pagerank,3728,0.111749,0.550429,0.290748,20867,372800,13.19046
seed7_degree_matched,7,0.2,degree_matched,100,20,personalized_pagerank,3728,0.091752,0.67221,0.290748,20867,372800,13.19046
seed7_degree_matched,7,0.2,degree_matched,100,1,resource_allocation,3728,0.186427,0.186427,0.315072,20867,372800,0.612169
seed7_degree_matched,7,0.2,degree_matched,100,3,resource_allocation,3728,0.160676,0.362124,0.315072,20867,372800,0.612169
seed7_degree_matched,7,0.2,degree_matched,100,5,resource_allocation,3728,0.146996,0.458155,0.315072,20867,372800,0.612169
seed7_degree_matched,7,0.2,degree_matched,100,10,resource_allocation,3728,0.127682,0.575376,0.315072,20867,372800,0.612169
seed7_degree_matched,7,0.2,degree_matched,100,20,resource_allocation,3728,0.106666,0.683745,0.315072,20867,372800,0.612169
seed7_degree_matched,7,0.2,degree_matched,100,1,preferential_attachment,3728,0.046942,0.046942,0.136395,20867,372800,0.15724
seed7_degree_matched,7,0.2,degree_matched,100,3,preferential_attachment,3728,0.0473,0.124195,0.136395,20867,372800,0.15724
seed7_degree_matched,7,0.2,degree_matched,100,5,preferential_attachment,3728,0.050107,0.197961,0.136395,20867,372800,0.15724
