algorithm,k,negative_strategy,negatives_per_source,test_ratio,runs,mean_precision_at_k,std_precision_at_k,mean_hit_rate_at_k,std_hit_rate_at_k,mean_mrr,std_mrr,mean_runtime_seconds,std_runtime_seconds
adamic_adar,1,degree_matched,100,0.2,5,0.17441,0.00321,0.17441,0.00321,0.303851,0.003327,0.616266,0.019406
adamic_adar,1,hard_2hop,100,0.2,5,0.339378,0.006672,0.339378,0.006672,0.458545,0.004963,0.392331,0.00722
adamic_adar,1,random,100,0.2,5,0.383584,0.005029,0.383584,0.005029,0.50467,0.004019,0.372215,0.010769
adamic_adar,10,degree_matched,100,0.2,5,0.126121,0.00128,0.570708,0.005221,0.303851,0.003327,0.616266,0.019406
adamic_adar,10,hard_2hop,100,0.2,5,0.220724,0.00101,0.682725,0.004264,0.458545,0.004963,0.392331,0.00722
adamic_adar,10,random,100,0.2,5,0.228857,0.001787,0.712393,0.003331,0.50467,0.004019,0.372215,0.010769
adamic_adar,20,degree_matched,100,0.2,5,0.104759,0.000369,0.679399,0.00522,0.303851,0.003327,0.616266,0.019406
adamic_adar,20,hard_2hop,100,0.2,5,0.165727,0.00059,0.73412,0.004038,0.458545,0.004963,0.392331,0.00722
adamic_adar,20,random,100,0.2,5,0.169681,0.000889,0.755204,0.002404,0.50467,0.004019,0.372215,0.010769
adamic_adar,3,degree_matched,100,0.2,5,0.154202,0.002769,0.351449,0.0084,0.303851,0.003327,0.616266,0.019406
adamic_adar,3,hard_2hop,100,0.2,5,0.2978,0.001592,0.525751,0.003258,0.458545,0.004963,0.392331,0.00722
adamic_adar,3,random,100,0.2,5,0.322586,0.003661,0.586803,0.00512,0.50467,0.004019,0.372215,0.010769
adamic_adar,5,degree_matched,100,0.2,5,0.143251,0.001751,0.449624,0.006926,0.303851,0.003327,0.616266,0.019406
adamic_adar,5,hard_2hop,100,0.2,5,0.26824,0.001712,0.601931,0.003482,0.458545,0.004963,0.392331,0.00722
adamic_adar,5,random,100,0.2,5,0.285118,0.003047,0.652039,0.003704,0.50467,0.004019,0.372215,0.010769
common_neighbors,1,degree_matched,100,0.2,5,0.16824,0.002771,0.16824,0.002771,0.295702,0.002957,0.403189,0.038068
common_neighbors,1,hard_2hop,100,0.2,5,0.334281,0.006211,0.334281,0.006211,0.452483,0.00404,0.302541,0.034297
common_neighbors,1,random,100,0.2,5,0.376288,0.005757,0.376288,0.005757,0.498266,0.003324,0.275621,0.011959
common_neighbors,10,degree_matched,100,0.2,5,0.122865,0.001308,0.558798,0.005707,0.295702,0.002957,0.403189,0.038068
common_neighbors,10,hard_2hop,100,0.2,5,0.219163,0.00075,0.676127,0.005542,0.452483,0.00404,0.302541,0.034297
common_neighbors,10,random,100,0.2,5,0.228214,0.001387,0.710193,0.004721,0.498266,0.003324,0.275621,0.011959
common_neighbors,20,degree_matched,100,0.2,5,0.103109,0.000275,0.67044,0.003501,0.295702,0.002957,0.403189,0.038068
common_neighbors,20,hard_2hop,100,0.2,5,0.165636,0.000477,0.733101,0.003878,0.452483,0.00404,0.302541,0.034297
common_neighbors,20,random,100,0.2,5,0.169547,0.000964,0.755526,0.002142,0.498266,0.003324,0.275621,0.011959
common_neighbors,3,degree_matched,100,0.2,5,0.150054,0.00231,0.341685,0.006558,0.295702,0.002957,0.403189,0.038068
common_neighbors,3,hard_2hop,100,0.2,5,0.29333,0.001402,0.517114,0.004617,0.452483,0.00404,0.302541,0.034297
common_neighbors,3,random,100,0.2,5,0.319689,0.002741,0.579614,0.003636,0.498266,0.003324,0.275621,0.011959
common_neighbors,5,degree_matched,100,0.2,5,0.140472,0.001265,0.439592,0.004889,0.295702,0.002957,0.403189,0.038068
common_neighbors,5,hard_2hop,100,0.2,5,0.265064,0.000762,0.591953,0.00286,0.452483,0.00404,0.302541,0.034297
common_neighbors,5,random,100,0.2,5,0.282833,0.002791,0.646566,0.004539,0.498266,0.003324,0.275621,0.011959
cosine_similarity,1,degree_matched,100,0.2,5,0.213251,0.005818,0.213251,0.005818,0.334463,0.004548,0.411917,0.013683
cosine_similarity,1,hard_2hop,100,0.2,5,0.238412,0.006596,0.238412,0.006596,0.36328,0.004923,0.32482,0.015588
cosine_similarity,1,random,100,0.2,5,0.275483,0.004329,0.275483,0.004329,0.414023,0.003452,0.306097,0.009787
cosine_similarity,10,degree_matched,100,0.2,5,0.140451,0.000666,0.571352,0.00409,0.334463,0.004548,0.411917,0.013683
cosine_similarity,10,hard_2hop,100,0.2,5,0.196127,0.001227,0.650054,0.004319,0.36328,0.004923,0.32482,0.015588
cosine_similarity,10,random,100,0.2,5,0.210075,0.000995,0.698498,0.003247,0.414023,0.003452,0.306097,0.009787
cosine_similarity,20,degree_matched,100,0.2,5,0.115373,0.000476,0.676341,0.003154,0.334463,0.004548,0.411917,0.013683
cosine_similarity,20,hard_2hop,100,0.2,5,0.156647,0.00049,0.730257,0.003364,0.36328,0.004923,0.32482,0.015588
cosine_similarity,20,random,100,0.2,5,0.162441,0.000619,0.753541,0.002158,0.414023,0.003452,0.306097,0.009787
cosine_similarity,3,degree_matched,100,0.2,5,0.183387,0.003644,0.38235,0.004193,0.334463,0.004548,0.411917,0.013683
cosine_similarity,3,hard_2hop,100,0.2,5,0.230597,0.00342,0.403434,0.004317,0.36328,0.004923,0.32482,0.015588
cosine_similarity,3,random,100,0.2,5,0.260908,0.004828,0.48412,0.00655,0.414023,0.003452,0.306097,0.009787
cosine_similarity,5,degree_matched,100,0.2,5,0.164936,0.001084,0.463573,0.003309,0.334463,0.004548,0.411917,0.013683
cosine_similarity,5,hard_2hop,100,0.2,5,0.220815,0.003125,0.50676,0.006335,0.36328,0.004923,0.32482,0.015588
cosine_similarity,5,random,100,0.2,5,0.244904,0.002255,0.592275,0.003372,0.414023,0.003452,0.306097,0.009787
jaccard,1,degree_matched,100,0.2,5,0.216684,0.004624,0.216684,0.004624,0.336657,0.003404,1.44203,0.037205
jaccard,1,hard_2hop,100,0.2,5,0.242972,0.003458,0.242972,0.003458,0.36488,0.003512,0.858555,0.039869
jaccard,1,random,100,0.2,5,0.281545,0.007333,0.281545,0.007333,0.415849,0.005187,0.690525,0.01658
jaccard,10,degree_matched,100,0.2,5,0.141003,0.000526,0.569582,0.004503,0.336657,0.003404,1.44203,0.037205
jaccard,10,hard_2hop,100,0.2,5,0.204388,0.001321,0.63632,0.006188,0.36488,0.003512,0.858555,0.039869
jaccard,10,random,100,0.2,5,0.217886,0.001161,0.693455,0.002166,0.415849,0.005187,0.690525,0.01658
jaccard,20,degree_matched,100,0.2,5,0.114375,0.00044,0.673015,0.003456,0.336657,0.003404,1.44203,0.037205
jaccard,20,hard_2hop,100,0.2,5,0.162905,0.000568,0.729936,0.003159,0.36488,0.003512,0.858555,0.039869
jaccard,20,random,100,0.2,5,0.168219,0.000912,0.753273,0.002866,0.415849,0.005187,0.690525,0.01658
jaccard,3,degree_matched,100,0.2,5,0.185658,0.002642,0.383959,0.005509,0.336657,0.003404,1.44203,0.037205
jaccard,3,hard_2hop,100,0.2,5,0.237572,0.003134,0.404023,0.004624,0.36488,0.003512,0.858555,0.039869
jaccard,3,random,100,0.2,5,0.267006,0.004004,0.48058,0.008199,0.415849,0.005187,0.690525,0.01658
jaccard,5,degree_matched,100,0.2,5,0.167414,0.001706,0.465397,0.005652,0.336657,0.003404,1.44203,0.037205
jaccard,5,hard_2hop,100,0.2,5,0.227596,0.002342,0.497854,0.005536,0.36488,0.003512,0.858555,0.039869
jaccard,5,random,100,0.2,5,0.25177,0.001795,0.583852,0.00349,0.415849,0.005187,0.690525,0.01658
personalized_pagerank,1,degree_matched,100,0.2,5,0.172157,0.008349,0.172157,0.008349,0.295248,0.006477,12.901403,0.231093
personalized_pagerank,1,hard_2hop,100,0.2,5,0.365236,0.003651,0.365236,0.003651,0.485723,0.004635,12.827075,0.15274
personalized_pagerank,1,random,100,0.2,5,0.413949,0.00734,0.413949,0.00734,0.541522,0.005017,12.839028,0.165459
personalized_pagerank,10,degree_matched,100,0.2,5,0.111277,0.001443,0.543079,0.007845,0.295248,0.006477,12.901403,0.231093
personalized_pagerank,10,hard_2hop,100,0.2,5,0.222983,0.001039,0.714431,0.005437,0.485723,0.004635,12.827075,0.15274
personalized_pagerank,10,random,100,0.2,5,0.237843,0.001007,0.787071,0.002365,0.541522,0.005017,12.839028,0.165459
personalized_pagerank,20,degree_matched,100,0.2,5,0.092074,0.000532,0.66706,0.005241,0.295248,0.006477,12.901403,0.231093
personalized_pagerank,20,hard_2hop,100,0.2,5,0.167076,0.000504,0.794743,0.003249,0.485723,0.004635,12.827075,0.15274
personalized_pagerank,20,random,100,0.2,5,0.172336,0.000418,0.838787,0.003236,0.541522,0.005017,12.839028,0.165459
personalized_pagerank,3,degree_matched,100,0.2,5,0.145565,0.003038,0.336749,0.00675,0.295248,0.006477,12.901403,0.231093
personalized_pagerank,3,hard_2hop,100,0.2,5,0.306831,0.002419,0.548176,0.008677,0.485723,0.004635,12.827075,0.15274
personalized_pagerank,3,random,100,0.2,5,0.341613,0.002816,0.617918,0.003927,0.541522,0.005017,12.839028,0.165459
personalized_pagerank,5,degree_matched,100,0.2,5,0.130784,0.002323,0.424303,0.007246,0.295248,0.006477,12.901403,0.231093
personalized_pagerank,5,hard_2hop,100,0.2,5,0.275021,0.001664,0.623283,0.007593,0.485723,0.004635,12.827075,0.15274
personalized_pagerank,5,random,100,0.2,5,0.300354,0.001566,0.696727,0.003773,0.541522,0.005017,12.839028,0.165459
preferential_attachment,1,degree_matched,100,0.2,5,0.049517,0.002448,0.049517,0.002448,0.139329,0.003095,0.155039,0.001559
preferential_attachment,1,hard_2hop,100,0.2,5,0.211695,0.003561,0.211695,0.003561,0.344313,0.002689,0.164485,0.00292
preferential_attachment,1,random,100,0.2,5,0.246137,0.005994,0.246137,0.005994,0.40187,0.004063,0.166404,0.00606
preferential_attachment,10,degree_matched,100,0.2,5,0.05132,0.000835,0.333155,0.004081,0.139329,0.003095,0.155039,0.001559
preferential_attachment,10,hard_2hop,100,0.2,5,0.163197,0.001312,0.612929,0.004375,0.344313,0.002689,0.164485,0.00292
preferential_attachment,10,random,100,0.2,5,0.182269,0.00083,0.731116,0.006996,0.40187,0.004063,0.166404,0.00606
preferential_attachment,20,degree_matched,100,0.2,5,0.049252,0.000405,0.490665,0.002182,0.139329,0.003095,0.155039,0.001559
preferential_attachment,20,hard_2hop,100,0.2,5,0.137951,0.000729,0.751019,0.004397,0.344313,0.002689,0.164485,0.00292
preferential_attachment,20,random,100,0.2,5,0.1525,0.000508,0.893723,0.002617,0.40187,0.004063,0.166404,0.00606
preferential_attachment,3,degree_matched,100,0.2,5,0.049338,0.002106,0.128541,0.005038,0.139329,0.003095,0.155039,0.001559
preferential_attachment,3,hard_2hop,100,0.2,5,0.195654,0.002177,0.390129,0.004547,0.344313,0.002689,0.164485,0.00292
preferential_attachment,3,random,100,0.2,5,0.223355,0.001554,0.4625,0.003136,0.40187,0.004063,0.166404,0.00606
preferential_attachment,5,degree_matched,100,0.2,5,0.050741,0.002037,0.199142,0.00666,0.139329,0.003095,0.155039,0.001559
preferential_attachment,5,hard_2hop,100,0.2,5,0.182436,0.001684,0.481116,0.003143,0.344313,0.002689,0.164485,0.00292
preferential_attachment,5,random,100,0.2,5,0.208155,0.001441,0.575966,0.005795,0.40187,0.004063,0.166404,0.00606
resource_allocation,1,degree_matched,100,0.2,5,0.18294,0.003654,0.18294,0.003654,0.309009,0.004208,0.574336,0.021862
resource_allocation,1,hard_2hop,100,0.2,5,0.329346,0.005605,0.329346,0.005605,0.449922,0.004523,0.375781,0.007984
resource_allocation,1,random,100,0.2,5,0.368509,0.005393,0.368509,0.005393,0.494236,0.004325,0.37679,0.047932
resource_allocation,10,degree_matched,100,0.2,5,0.127452,0.000896,0.573122,0.004141,0.309009,0.004208,0.574336,0.021862
resource_allocation,10,hard_2hop,100,0.2,5,0.214989,0.001015,0.680901,0.004206,0.449922,0.004523,0.375781,0.007984
resource_allocation,10,random,100,0.2,5,0.223804,0.00142,0.711642,0.002331,0.494236,0.004325,0.37679,0.047932
resource_allocation,20,degree_matched,100,0.2,5,0.105923,0.000718,0.680848,0.00369,0.309009,0.004208,0.574336,0.021862
resource_allocation,20,hard_2hop,100,0.2,5,0.162484,0.000615,0.733369,0.003707,0.449922,0.004523,0.375781,0.007984
resource_allocation,20,random,100,0.2,5,0.166601,0.000988,0.754828,0.002284,0.494236,0.004325,0.37679,0.047932
resource_allocation,3,degree_matched,100,0.2,5,0.156563,0.002547,0.351341,0.006889,0.309009,0.004208,0.574336,0.021862
resource_allocation,3,hard_2hop,100,0.2,5,0.286785,0.001526,0.51588,0.007024,0.449922,0.004523,0.375781,0.007984
resource_allocation,3,random,100,0.2,5,0.31216,0.003429,0.578702,0.005427,0.494236,0.004325,0.37679,0.047932
resource_allocation,5,degree_matched,100,0.2,5,0.144249,0.002266,0.448391,0.008078,0.309009,0.004208,0.574336,0.021862
resource_allocation,5,hard_2hop,100,0.2,5,0.260236,0.001781,0.595708,0.003187,0.449922,0.004523,0.375781,0.007984
resource_allocation,5,random,100,0.2,5,0.276245,0.002716,0.648605,0.003388,0.494236,0.004325,0.37679,0.047932
sorensen,1,degree_matched,100,0.2,5,0.216684,0.004624,0.216684,0.004624,0.336657,0.003404,0.393769,0.015082
sorensen,1,hard_2hop,100,0.2,5,0.242972,0.003458,0.242972,0.003458,0.36488,0.003512,0.308784,0.009066
sorensen,1,random,100,0.2,5,0.281545,0.007333,0.281545,0.007333,0.415849,0.005187,0.292503,0.010909
sorensen,10,degree_matched,100,0.2,5,0.141003,0.000526,0.569582,0.004503,0.336657,0.003404,0.393769,0.015082
sorensen,10,hard_2hop,100,0.2,5,0.204388,0.001321,0.63632,0.006188,0.36488,0.003512,0.308784,0.009066
sorensen,10,random,100,0.2,5,0.217886,0.001161,0.693455,0.002166,0.415849,0.005187,0.292503,0.010909
sorensen,20,degree_matched,100,0.2,5,0.114375,0.00044,0.673015,0.003456,0.336657,0.003404,0.393769,0.015082
sorensen,20,hard_2hop,100,0.2,5,0.162905,0.000568,0.729936,0.003159,0.36488,0.003512,0.308784,0.009066
sorensen,20,random,100,0.2,5,0.168219,0.000912,0.753273,0.002866,0.415849,0.005187,0.292503,0.010909
sorensen,3,degree_matched,100,0.2,5,0.185658,0.002642,0.383959,0.005509,0.336657,0.003404,0.393769,0.015082
sorensen,3,hard_2hop,100,0.2,5,0.237572,0.003134,0.404023,0.004624,0.36488,0.003512,0.308784,0.009066
sorensen,3,random,100,0.2,5,0.267006,0.004004,0.48058,0.008199,0.415849,0.005187,0.292503,0.010909
sorensen,5,degree_matched,100,0.2,5,0.167414,0.001706,0.465397,0.005652,0.336657,0.003404,0.393769,0.015082
