run_id,seed,test_ratio,negative_strategy,negatives_per_source,k,algorithm,sources_evaluated,precision_at_k,hit_rate_at_k,mrr,positive_candidates,negative_candidates,runtime_seconds
seed42_random,42,0.2,random,20,1,common_neighbors,100,0.86,0.86,0.907976,1294,2000,0.004066
seed42_random,42,0.2,random,20,3,common_neighbors,100,0.726667,0.94,0.907976,1294,2000,0.004066
seed42_random,42,0.2,random,20,10,common_neighbors,100,0.562,0.99,0.907976,1294,2000,0.004066
seed42_random,42,0.2,random,20,1,jaccard,100,0.8,0.8,0.874976,1294,2000,0.011037
seed42_random,42,0.2,random,20,3,jaccard,100,0.703333,0.94,0.874976,1294,2000,0.011037
seed42_random,42,0.2,random,20,10,jaccard,100,0.554,0.99,0.874976,1294,2000,0.011037
seed42_random,42,0.2,random,20,1,adamic_adar,100,0.85,0.85,0.90081,1294,2000,0.007402
seed42_random,42,0.2,random,20,3,adamic_adar,100,0.72,0.93,0.90081,1294,2000,0.007402
seed42_random,42,0.2,random,20,10,adamic_adar,100,0.56,0.99,0.90081,1294,2000,0.007402
seed42_random,42,0.2,random,20,1,personalized_pagerank,100,0.84,0.84,0.902119,1294,2000,0.346175
seed42_random,42,0.2,random,20,3,personalized_pagerank,100,0.75,0.96,0.902119,1294,2000,0.346175
seed42_random,42,0.2,random,20,10,personalized_pagerank,100,0.557,0.98,0.902119,1294,2000,0.346175
seed42_random,42,0.2,random,20,1,resource_allocation,100,0.84,0.84,0.894143,1294,2000,0.006624
seed42_random,42,0.2,random,20,3,resource_allocation,100,0.72,0.93,0.894143,1294,2000,0.006624
seed42_random,42,0.2,random,20,10,resource_allocation,100,0.555,0.99,0.894143,1294,2000,0.006624
seed42_random,42,0.2,random,20,1,preferential_attachment,100,0.63,0.63,0.750607,1294,2000,0.001561
seed42_random,42,0.2,random,20,3,preferential_attachment,100,0.593333,0.85,0.750607,1294,2000,0.001561
seed42_random,42,0.2,random,20,10,preferential_attachment,100,0.487,1.0,0.750607,1294,2000,0.001561
seed42_random,42,0.2,random,20,1,cosine_similarity,100,0.75,0.75,0.84581,1294,2000,0.004355
seed42_random,42,0.2,random,20,3,cosine_similarity,100,0.69,0.93,0.84581,1294,2000,0.004355
seed42_random,42,0.2,random,20,10,cosine_similarity,100,0.548,0.99,0.84581,1294,2000,0.004355
seed42_random,42,0.2,random,20,1,sorensen,100,0.8,0.8,0.874976,1294,2000,0.004111
seed42_random,42,0.2,random,20,3,sorensen,100,0.703333,0.94,0.874976,1294,2000,0.004111
seed42_random,42,0.2,random,20,10,sorensen,100,0.554,0.99,0.874976,1294,2000,0.004111
seed42_random,42,0.2,random,20,1,target_indegree,100,0.74,0.74,0.820167,1294,2000,0.001046
seed42_random,42,0.2,random,20,3,target_indegree,100,0.593333,0.85,0.820167,1294,2000,0.001046
seed42_random,42,0.2,random,20,10,target_indegree,100,0.499,1.0,0.820167,1294,2000,0.001046
