algorithm,k,negative_strategy,negatives_per_source,test_ratio,runs,mean_precision_at_k,std_precision_at_k,mean_hit_rate_at_k,std_hit_rate_at_k,mean_mrr,std_mrr,mean_runtime_seconds,std_runtime_seconds
adamic_adar,1,degree_matched,20,0.2,1,0.71,0.0,0.71,0.0,0.818944,0.0,0.008236,0.0
adamic_adar,1,hard_2hop,20,0.2,1,0.75,0.0,0.75,0.0,0.835667,0.0,0.007156,0.0
adamic_adar,1,random,20,0.2,1,0.85,0.0,0.85,0.0,0.90081,0.0,0.007402,0.0
adamic_adar,10,degree_matched,20,0.2,1,0.479,0.0,0.99,0.0,0.818944,0.0,0.008236,0.0
adamic_adar,10,hard_2hop,20,0.2,1,0.552,0.0,0.99,0.0,0.835667,0.0,0.007156,0.0
adamic_adar,10,random,20,0.2,1,0.56,0.0,0.99,0.0,0.90081,0.0,0.007402,0.0
adamic_adar,3,degree_matched,20,0.2,1,0.613333,0.0,0.91,0.0,0.818944,0.0,0.008236,0.0
adamic_adar,3,hard_2hop,20,0.2,1,0.686667,0.0,0.91,0.0,0.835667,0.0,0.007156,0.0
adamic_adar,3,random,20,0.2,1,0.72,0.0,0.93,0.0,0.90081,0.0,0.007402,0.0
common_neighbors,1,degree_matched,20,0.2,1,0.73,0.0,0.73,0.0,0.831754,0.0,0.004814,0.0
common_neighbors,1,hard_2hop,20,0.2,1,0.75,0.0,0.75,0.0,0.838167,0.0,0.004582,0.0
common_neighbors,1,random,20,0.2,1,0.86,0.0,0.86,0.0,0.907976,0.0,0.004066,0.0
common_neighbors,10,degree_matched,20,0.2,1,0.487,0.0,0.98,0.0,0.831754,0.0,0.004814,0.0
common_neighbors,10,hard_2hop,20,0.2,1,0.556,0.0,0.99,0.0,0.838167,0.0,0.004582,0.0
common_neighbors,10,random,20,0.2,1,0.562,0.0,0.99,0.0,0.907976,0.0,0.004066,0.0
common_neighbors,3,degree_matched,20,0.2,1,0.616667,0.0,0.9,0.0,0.831754,0.0,0.004814,0.0
common_neighbors,3,hard_2hop,20,0.2,1,0.69,0.0,0.9,0.0,0.838167,0.0,0.004582,0.0
common_neighbors,3,random,20,0.2,1,0.726667,0.0,0.94,0.0,0.907976,0.0,0.004066,0.0
cosine_similarity,1,degree_matched,20,0.2,1,0.71,0.0,0.71,0.0,0.806599,0.0,0.005539,0.0
cosine_similarity,1,hard_2hop,20,0.2,1,0.63,0.0,0.63,0.0,0.7585,0.0,0.004663,0.0
cosine_similarity,1,random,20,0.2,1,0.75,0.0,0.75,0.0,0.84581,0.0,0.004355,0.0
cosine_similarity,10,degree_matched,20,0.2,1,0.5,0.0,0.99,0.0,0.806599,0.0,0.005539,0.0
