source_node,target_node,label,score,rank,algorithm
3,54,1,0.13043478,1,jaccard
3,236,0,0.12658228,2,jaccard
3,28,1,0.09722222,3,jaccard
3,61,0,0.09259259,4,jaccard
3,182,1,0.0862069,5,jaccard
3,151,0,0.07438017,6,jaccard
3,604,1,0.07407407,7,jaccard
3,214,1,0.06936416,8,jaccard
3,255,0,0.05691057,9,jaccard
3,313,0,0.05172414,10,jaccard
3,32,0,0.03636364,11,jaccard
3,1222,0,0.02597403,12,jaccard
3,868,0,0.01785714,13,jaccard
3,3506,0,0.01515152,14,jaccard
3,1286,0,0.01503759,15,jaccard
3,696,0,0.01388889,16,jaccard
3,1315,0,0.01149425,17,jaccard
3,6634,0,0.005,18,jaccard
3,330,0,0.0,19,jaccard
3,463,0,0.0,20,jaccard
3,726,0,0.0,21,jaccard
3,988,0,0.0,22,jaccard
3,1108,0,0.0,23,jaccard
3,1233,0,0.0,24,jaccard
3,1356,0,0.0,25,jaccard
3,1663,0,0.0,26,jaccard
3,1737,0,0.0,27,jaccard
3,1807,0,0.0,28,jaccard
3,1872,0,0.0,29,jaccard
3,1914,0,0.0,30,jaccard
3,1929,0,0.0,31,jaccard
3,2001,0,0.0,32,jaccard
3,2180,0,0.0,33,jaccard
3,2184,0,0.0,34,jaccard
3,2315,0,0.0,35,jaccard
3,2326,0,0.0,36,jaccard
3,2391,0,0.0,37,jaccard
3,2412,0,0.0,38,jaccard
3,2428,0,0.0,39,jaccard
3,2441,0,0.0,40,jaccard
3,2925,0,0.0,41,jaccard
3,3086,0,0.0,42,jaccard
3,3113,0,0.0,43,jaccard
3,3172,0,0.0,44,jaccard
3,3196,0,0.0,45,jaccard
3,3204,0,0.0,46,jaccard
3,3284,0,0.0,47,jaccard
3,3389,0,0.0,48,jaccard
3,3458,0,0.0,49,jaccard
3,3663,0,0.0,50,jaccard
3,3754,0,0.0,51,jaccard
3,3835,0,0.0,52,jaccard
3,3855,0,0.0,53,jaccard
3,3968,0,0.0,54,jaccard
3,3981,0,0.0,55,jaccard
3,3986,0,0.0,56,jaccard
3,4028,0,0.0,57,jaccard
3,4042,0,0.0,58,jaccard
3,4075,0,0.0,59,jaccard
3,4235,0,0.0,60,jaccard
3,4380,0,0.0,61,jaccard
3,4385,0,0.0,62,jaccard
3,4456,0,0.0,63,jaccard
3,4481,0,0.0,64,jaccard
3,4540,0,0.0,65,jaccard
3,4598,0,0.0,66,jaccard
3,4640,0,0.0,67,jaccard
3,4855,0,0.0,68,jaccard
3,5009,0,0.0,69,jaccard
3,5068,0,0.0,70,jaccard
3,5079,0,0.0,71,jaccard
3,5115,0,0.0,72,jaccard
3,5142,0,0.0,73,jaccard
3,5438,0,0.0,74,jaccard
3,5643,0,0.0,75,jaccard
3,5820,0,0.0,76,jaccard
3,6273,0,0.0,77,jaccard
3,6464,0,0.0,78,jaccard
3,6472,0,0.0,79,jaccard
3,6487,0,0.0,80,jaccard
3,6605,0,0.0,81,jaccard
3,6674,0,0.0,82,jaccard
3,6702,0,0.0,83,jaccard
3,6787,0,0.0,84,jaccard
3,6810,0,0.0,85,jaccard
3,6846,0,0.0,86,jaccard
3,6896,0,0.0,87,jaccard
3,7138,0,0.0,88,jaccard
3,7153,0,0.0,89,jaccard
3,7185,0,0.0,90,jaccard
3,7191,0,0.0,91,jaccard
3,7281,0,0.0,92,jaccard
3,7327,0,0.0,93,jaccard
3,7623,0,0.0,94,jaccard
3,7719,0,0.0,95,jaccard
3,7796,0,0.0,96,jaccard
3,7848,0,0.0,97,jaccard
3,7878,0,0.0,98,jaccard
3,8007,0,0.0,99,jaccard
3,8048,0,0.0,100,jaccard
3,8055,0,0.0,101,jaccard
3,8057,0,0.0,102,jaccard
3,8058,0,0.0,103,jaccard
3,8134,0,0.0,104,jaccard
3,8226,0,0.0,105,jaccard
4,296,0,0.10714286,1,jaccard
4,38,1,0.09756098,2,jaccard
4,606,1,0.08571429,3,jaccard
4,640,0,0.08333333,4,jaccard
4,75,1,0.06976744,5,jaccard
4,657,0,0.05555556,6,jaccard
4,415,1,0.05479452,7,jaccard
4,428,0,0.05263158,8,jaccard
4,3,0,0.04761905,9,jaccard
4,30,1,0.04444444,10,jaccard
4,650,1,0.02777778,11,jaccard
4,844,0,0.02564103,12,jaccard
4,1644,0,0.01666667,13,jaccard
4,1820,0,0.0106383,14,jaccard
4,1585,0,0.00552486,15,jaccard
4,213,0,0.0,16,jaccard
4,283,0,0.0,17,jaccard
4,337,0,0.0,18,jaccard
4,372,0,0.0,19,jaccard
4,393,0,0.0,20,jaccard
4,909,0,0.0,21,jaccard
4,935,0,0.0,22,jaccard
4,950,0,0.0,23,jaccard
4,976,0,0.0,24,jaccard
4,1012,0,0.0,25,jaccard
4,1174,0,0.0,26,jaccard
4,1295,0,0.0,27,jaccard
4,1323,0,0.0,28,jaccard
4,1350,0,0.0,29,jaccard
4,1490,0,0.0,30,jaccard
4,1611,0,0.0,31,jaccard
4,1813,0,0.0,32,jaccard
4,1816,0,0.0,33,jaccard
4,1928,0,0.0,34,jaccard
4,1960,0,0.0,35,jaccard
4,2153,0,0.0,36,jaccard
4,2210,0,0.0,37,jaccard
4,2234,0,0.0,38,jaccard
4,2462,0,0.0,39,jaccard
4,2475,0,0.0,40,jaccard
4,2543,0,0.0,41,jaccard
4,2658,0,0.0,42,jaccard
4,2759,0,0.0,43,jaccard
4,2827,0,0.0,44,jaccard
4,2966,0,0.0,45,jaccard
4,3093,0,0.0,46,jaccard
4,3124,0,0.0,47,jaccard
4,3151,0,0.0,48,jaccard
4,3181,0,0.0,49,jaccard
4,3216,0,0.0,50,jaccard
4,3235,0,0.0,51,jaccard
4,3253,0,0.0,52,jaccard
4,3293,0,0.0,53,jaccard
4,3322,0,0.0,54,jaccard
4,3391,0,0.0,55,jaccard
4,3440,0,0.0,56,jaccard
4,3563,0,0.0,57,jaccard
4,3619,0,0.0,58,jaccard
4,3802,0,0.0,59,jaccard
4,3905,0,0.0,60,jaccard
4,3927,0,0.0,61,jaccard
4,3963,0,0.0,62,jaccard
4,3980,0,0.0,63,jaccard
4,4049,0,0.0,64,jaccard
4,4245,0,0.0,65,jaccard
4,4597,0,0.0,66,jaccard
4,4707,0,0.0,67,jaccard
4,4883,0,0.0,68,jaccard
4,4970,0,0.0,69,jaccard
4,5081,0,0.0,70,jaccard
4,5106,0,0.0,71,jaccard
4,5117,0,0.0,72,jaccard
4,5180,0,0.0,73,jaccard
4,5481,0,0.0,74,jaccard
4,5675,0,0.0,75,jaccard
4,5729,0,0.0,76,jaccard
4,5764,0,0.0,77,jaccard
4,5853,0,0.0,78,jaccard
4,5897,0,0.0,79,jaccard
4,5995,0,0.0,80,jaccard
4,6015,0,0.0,81,jaccard
4,6109,0,0.0,82,jaccard
4,6114,0,0.0,83,jaccard
4,6168,0,0.0,84,jaccard
4,6294,0,0.0,85,jaccard
4,6305,0,0.0,86,jaccard
4,6408,0,0.0,87,jaccard
4,6409,0,0.0,88,jaccard
4,6445,0,0.0,89,jaccard
4,6467,0,0.0,90,jaccard
4,6497,0,0.0,91,jaccard
4,6534,0,0.0,92,jaccard
4,6582,0,0.0,93,jaccard
4,6646,0,0.0,94,jaccard
4,7189,0,0.0,95,jaccard
4,7220,0,0.0,96,jaccard
4,7240,0,0.0,97,jaccard
4,7491,0,0.0,98,jaccard
4,7649,0,0.0,99,jaccard
4,7706,0,0.0,100,jaccard
4,7734,0,0.0,101,jaccard
4,7767,0,0.0,102,jaccard
4,7813,0,0.0,103,jaccard
4,8025,0,0.0,104,jaccard
4,8172,0,0.0,105,jaccard
4,8277,0,0.0,106,jaccard
5,10,1,0.14117647,1,jaccard
5,153,1,0.10714286,2,jaccard
5,8,1,0.07954545,3,jaccard
5,163,1,0.05555556,4,jaccard
5,492,0,0.05555556,5,jaccard
5,590,0,0.04347826,6,jaccard
5,157,0,0.03921569,7,jaccard
5,93,1,0.03333333,8,jaccard
5,1218,0,0.02222222,9,jaccard
5,405,0,0.02,10,jaccard
5,418,0,0.0,11,jaccard
5,717,0,0.0,12,jaccard
5,842,0,0.0,13,jaccard
5,883,0,0.0,14,jaccard
5,1108,0,0.0,15,jaccard
5,1114,0,0.0,16,jaccard
5,1212,0,0.0,17,jaccard
5,1418,0,0.0,18,jaccard
5,1435,0,0.0,19,jaccard
5,1445,0,0.0,20,jaccard
5,1876,0,0.0,21,jaccard
5,1966,0,0.0,22,jaccard
5,2034,0,0.0,23,jaccard
5,2133,0,0.0,24,jaccard
5,2317,0,0.0,25,jaccard
5,2330,0,0.0,26,jaccard
5,2345,0,0.0,27,jaccard
5,2390,0,0.0,28,jaccard
5,2424,0,0.0,29,jaccard
5,2500,0,0.0,30,jaccard
5,2514,0,0.0,31,jaccard
5,2550,0,0.0,32,jaccard
5,2556,0,0.0,33,jaccard
5,2617,0,0.0,34,jaccard
5,2741,0,0.0,35,jaccard
5,2765,0,0.0,36,jaccard
5,2841,0,0.0,37,jaccard
5,2905,0,0.0,38,jaccard
5,2930,0,0.0,39,jaccard
5,2985,0,0.0,40,jaccard
5,3174,0,0.0,41,jaccard
5,3221,0,0.0,42,jaccard
5,3239,0,0.0,43,jaccard
5,3260,0,0.0,44,jaccard
5,3340,0,0.0,45,jaccard
5,3408,0,0.0,46,jaccard
5,3498,0,0.0,47,jaccard
5,3511,0,0.0,48,jaccard
5,3565,0,0.0,49,jaccard
5,3639,0,0.0,50,jaccard
5,3932,0,0.0,51,jaccard
5,4155,0,0.0,52,jaccard
5,4246,0,0.0,53,jaccard
5,4290,0,0.0,54,jaccard
5,4552,0,0.0,55,jaccard
5,4557,0,0.0,56,jaccard
5,4619,0,0.0,57,jaccard
5,4688,0,0.0,58,jaccard
5,4711,0,0.0,59,jaccard
5,4767,0,0.0,60,jaccard
5,4798,0,0.0,61,jaccard
5,4821,0,0.0,62,jaccard
5,5039,0,0.0,63,jaccard
5,5047,0,0.0,64,jaccard
5,5089,0,0.0,65,jaccard
5,5154,0,0.0,66,jaccard
5,5187,0,0.0,67,jaccard
5,5198,0,0.0,68,jaccard
5,5229,0,0.0,69,jaccard
5,5342,0,0.0,70,jaccard
5,5478,0,0.0,71,jaccard
5,5563,0,0.0,72,jaccard
5,5678,0,0.0,73,jaccard
5,5691,0,0.0,74,jaccard
5,5855,0,0.0,75,jaccard
5,5895,0,0.0,76,jaccard
5,5896,0,0.0,77,jaccard
5,5933,0,0.0,78,jaccard
5,6219,0,0.0,79,jaccard
5,6264,0,0.0,80,jaccard
5,6281,0,0.0,81,jaccard
5,6306,0,0.0,82,jaccard
5,6328,0,0.0,83,jaccard
5,6388,0,0.0,84,jaccard
5,6578,0,0.0,85,jaccard
5,6660,0,0.0,86,jaccard
5,6726,0,0.0,87,jaccard
5,6729,0,0.0,88,jaccard
5,6766,0,0.0,89,jaccard
5,6963,0,0.0,90,jaccard
5,6974,0,0.0,91,jaccard
5,7074,0,0.0,92,jaccard
5,7149,0,0.0,93,jaccard
5,7238,0,0.0,94,jaccard
5,7240,0,0.0,95,jaccard
5,7253,0,0.0,96,jaccard
5,7304,0,0.0,97,jaccard
5,7483,0,0.0,98,jaccard
5,7678,0,0.0,99,jaccard
5,7781,0,0.0,100,jaccard
5,7814,0,0.0,101,jaccard
5,7941,0,0.0,102,jaccard
5,8043,0,0.0,103,jaccard
5,8068,0,0.0,104,jaccard
